[57, 32]
[61, 13]
[155, 35]
[155, 12]
[168, 29]
[168, 14]
[168, 32]
[168, 37]
[237, 14]
[237, 32]
[241, 22]
[247, 14]
[294, 34]
[294, 36]
[310, 15]
[375, 31]
[375, 16]
[386, 31]
[386, 13]
[397, 36]
[398, 18]
[401, 27]
[401, 17]
[401, 35]
[424, 11]
[434, 27]
[455, 16]
[463, 34]
[505, 18]
[516, 17]
[525, 22]
[598, 34]
[611, 37]
[632, 28]
[642, 37]
[642, 15]
[642, 22]
[642, 16]
[642, 23]
[644, 31]
[761, 19]
[761, 36]
[804, 21]
[830, 28]
[833, 28]
[870, 19]
[870, 25]
[870, 33]
[885, 16]
[885, 23]
[885, 25]
[898, 35]
[926, 36]
[945, 32]
[955, 36]
[979, 12]
[979, 26]
[981, 13]
[1059, 12]
[1059, 11]
[1059, 30]
[1119, 13]
[1167, 15]
[1167, 21]
[1221, 15]
[1221, 37]
[1221, 12]
[1221, 13]
[1240, 27]
[1240, 29]
[1240, 28]
[1241, 30]
[1248, 21]
[1252, 27]
[1264, 34]
[1264, 33]
[1269, 15]
[1269, 28]
[1269, 33]
[1269, 12]
[1269, 19]
[1269, 14]
[1269, 28]
[1269, 25]
[1298, 28]
[1327, 27]
[1373, 12]
[1396, 14]
[1399, 13]
[1404, 32]
[1407, 23]
[1407, 36]
[1407, 35]
[1407, 15]
[1407, 11]
[1408, 24]
[1488, 32]
[1488, 26]
[1492, 22]
[1510, 23]
[1530, 33]
[1606, 33]
[1606, 22]
[1606, 29]
[1606, 25]
[1654, 37]
[1654, 36]
[1654, 15]
[1654, 12]
[1682, 25]
[1733, 14]
[1733, 13]
[1733, 36]
[1784, 18]
[1846, 15]
[1900, 22]
[1900, 15]
[1903, 20]
[1903, 25]
[1948, 29]
[1985, 13]
[1985, 33]
[1986, 26]
[1993, 19]
[1995, 28]
[1995, 23]
[2032, 33]
[2043, 11]
[2043, 20]
[2043, 18]
[2071, 20]
[2071, 11]
[2107, 29]
[2129, 34]
[2135, 27]
[2135, 36]
[2202, 14]
[2213, 31]
[2213, 15]
[2219, 13]
[2353, 33]
[2353, 24]
[2353, 17]
[2353, 29]
[2353, 13]
[2366, 19]
[2420, 21]
[2455, 21]
[2472, 31]
[2491, 31]
[2513, 36]
[2528, 16]
[2528, 14]
[2540, 36]
[2556, 18]
[2599, 35]
[2624, 11]
[2624, 34]
[2637, 25]
[2637, 25]
[2637, 20]
[2640, 11]
[2640, 13]
[2653, 33]
[2673, 16]
[2691, 32]
[2699, 27]
[2727, 15]
[2809, 24]
[2835, 14]
[2835, 32]
[2882, 12]
[2890, 32]
[2952, 17]
[2971, 16]
[2971, 21]
[2971, 15]
[2975, 37]
[2975, 33]
[2975, 26]
[2975, 30]
[3023, 23]
[3056, 26]
[3057, 26]
[3057, 34]
[3057, 11]
[3057, 13]
[3117, 29]
[3169, 36]
[3169, 21]
[3200, 36]
[3210, 34]
[3210, 35]
[3210, 12]
[3210, 32]
[3322, 31]
[3322, 12]
[3364, 18]
[3391, 20]
[3405, 12]
[3405, 31]
[3456, 37]
[3456, 14]
[3456, 15]
[3456, 17]
[3462, 17]
[3496, 24]
[3501, 30]
[3512, 33]
[3512, 32]
[3512, 24]
[3513, 19]
[3533, 21]
[3533, 36]
[3544, 27]
[3549, 18]
[3563, 33]
[3589, 11]
[3628, 36]
[3651, 37]
[3670, 24]
[3690, 29]
[3714, 22]
[3714, 36]
[3730, 36]
[3751, 15]
[3751, 27]
[3751, 26]
[3755, 28]
[3764, 23]
[3768, 13]
[3790, 19]
[3825, 17]
[3829, 12]
[3833, 29]
[3852, 22]
[3859, 20]
[3859, 32]
[3891, 14]
[3893, 21]
[3900, 12]
[3908, 28]
[3911, 13]
[3911, 19]
[3923, 12]
[3923, 34]
[3936, 27]
[3955, 31]
[3975, 27]
[3975, 21]
[4009, 30]
[4009, 20]
[4069, 32]
[4086, 13]
[4154, 16]
[4155, 32]
[4215, 17]
[4241, 11]
[4247, 26]
[4247, 17]
[4251, 11]
[4265, 37]
[4265, 35]
[4286, 13]
[4302, 32]
[4425, 35]
[4425, 22]
[4448, 30]
[4452, 21]
[4452, 11]
[4487, 13]
[4562, 24]
[4581, 28]
[4581, 28]
[4600, 29]
