[6, 32]
[237, 31]
[241, 24]
[241, 22]
[294, 34]
[299, 32]
[310, 36]
[310, 25]
[324, 34]
[375, 32]
[397, 28]
[398, 30]
[401, 27]
[401, 22]
[401, 33]
[434, 15]
[505, 30]
[516, 15]
[525, 35]
[632, 11]
[644, 27]
[703, 30]
[761, 21]
[804, 30]
[870, 11]
[870, 16]
[875, 24]
[885, 27]
[885, 34]
[895, 32]
[898, 32]
[926, 37]
[945, 28]
[979, 15]
[981, 32]
[981, 22]
[1221, 36]
[1240, 22]
[1240, 33]
[1240, 27]
[1240, 26]
[1248, 18]
[1264, 37]
[1269, 15]
[1399, 15]
[1408, 31]
[1475, 31]
[1530, 37]
[1555, 34]
[1555, 34]
[1606, 31]
[1606, 24]
[1606, 23]
[1606, 30]
[1606, 28]
[1654, 11]
[1733, 25]
[1733, 33]
[1733, 26]
[1780, 28]
[1784, 32]
[1846, 23]
[1900, 34]
[1900, 32]
[1900, 32]
[1985, 29]
[1986, 35]
[2001, 15]
[2032, 32]
[2043, 31]
[2043, 35]
[2043, 25]
[2071, 11]
[2135, 23]
[2153, 30]
[2213, 31]
[2219, 35]
[2219, 36]
[2353, 28]
[2366, 31]
[2420, 15]
[2455, 29]
[2472, 33]
[2472, 24]
[2491, 11]
[2540, 22]
[2540, 35]
[2599, 14]
[2599, 18]
[2624, 32]
[2637, 15]
[2640, 35]
[2640, 37]
[2673, 11]
[2727, 28]
[2809, 34]
[2835, 27]
[2836, 27]
[2882, 31]
[2971, 27]
[2971, 16]
[2975, 32]
[2975, 24]
[2975, 24]
[3051, 32]
[3056, 31]
[3057, 31]
[3057, 11]
[3057, 35]
[3057, 32]
[3057, 31]
[3117, 36]
[3123, 24]
[3169, 14]
[3204, 37]
[3322, 25]
[3322, 29]
[3322, 25]
[3322, 27]
[3364, 15]
[3376, 30]
[3401, 25]
[3405, 15]
[3456, 29]
[3501, 14]
[3512, 22]
[3533, 15]
[3538, 27]
[3544, 15]
[3549, 37]
[3549, 11]
[3589, 29]
[3714, 31]
[3751, 37]
[3751, 31]
[3751, 30]
[3755, 31]
[3790, 36]
[3833, 31]
[3852, 33]
[3859, 25]
[3893, 36]
[3900, 30]
[3911, 15]
[3911, 22]
[3923, 32]
[3975, 33]
[4069, 15]
[4155, 33]
[4219, 37]
[4247, 31]
[4265, 25]
[4302, 32]
[4320, 35]
[4425, 15]
[4452, 36]
[4600, 37]
[4635, 32]
[4644, 15]
[4712, 29]
[4732, 13]
[4732, 24]
[4732, 21]
[4773, 15]
[4877, 13]
[4877, 12]
[4946, 30]
[4946, 35]
[4989, 34]
[4989, 32]
[5079, 11]
[5079, 11]
[5114, 34]
[5114, 36]
[5157, 37]
[5157, 33]
[5179, 35]
[5179, 25]
[5179, 31]
[5253, 36]
[5331, 32]
[5397, 14]
[5397, 34]
[5411, 22]
[5426, 27]
[5426, 34]
[5434, 37]
[5472, 20]
[5477, 19]
[5484, 32]
[5488, 35]
[5517, 35]
[5547, 30]
[5550, 36]
[5555, 36]
[5555, 23]
[5633, 36]
[5655, 14]
[5789, 36]
[5833, 20]
[5833, 35]
[5877, 11]
[5996, 19]
[6029, 23]
[6034, 12]
[6046, 15]
[6046, 30]
[6105, 15]
[6262, 14]
[6364, 36]
[6427, 22]
[6453, 35]
[6486, 15]
[6533, 32]
[6558, 36]
[6570, 35]
[6570, 35]
[6599, 34]
[6605, 27]
[6627, 32]
[6718, 29]
[6797, 27]
[6805, 34]
[6855, 30]
[6886, 31]
[6907, 23]
[6907, 29]
[6907, 36]
[6937, 15]
[6938, 30]
[6938, 35]
[6948, 30]
[7030, 32]
[7091, 34]
[7336, 34]
[7336, 34]
[7340, 11]
[7433, 18]
[7459, 15]
[7476, 32]
[7493, 34]
[7544, 36]
[7544, 29]
[7644, 20]
[7644, 36]
[7804, 37]
[7833, 37]
[7833, 35]
[7985, 34]
[8033, 25]
[8033, 31]
[8033, 23]
[8033, 28]
[8125, 37]
[8125, 37]
[8181, 11]
[8181, 14]
[8181, 20]
[8187, 11]
[8194, 28]
[8194, 36]
[8210, 15]
[8226, 33]
[8360, 36]
[8361, 22]
[8385, 26]
[8406, 24]
[8420, 37]
[8421, 34]
[8425, 30]
[8513, 30]
[8533, 23]
[8608, 32]
[8679, 36]
[8730, 30]
[8757, 33]
[8757, 23]
[8758, 37]
[8843, 27]
[8911, 36]
[8911, 32]
[8918, 34]
[9001, 11]
[9008, 29]
[9041, 34]
[9041, 30]
[9077, 30]
[9091, 11]
[9091, 17]
[9129, 34]
[9129, 32]
[9131, 25]
[9202, 34]
[9202, 32]
[9247, 33]
[9248, 13]
[9279, 15]
[9279, 23]
[9303, 35]
[9410, 33]
[9426, 31]
[9486, 34]
[9513, 28]
[9524, 15]
[9631, 24]
[9640, 37]
[9649, 23]
[9690, 28]
[9695, 31]
[9695, 36]
[9695, 32]
[9725, 14]
[9745, 27]
[9754, 31]
[9954, 15]
[9959, 18]
[9988, 15]
[10007, 22]
[10121, 11]
[10121, 11]
[10275, 35]
[10315, 37]
[10342, 32]
[10461, 15]
[10494, 37]
[10515, 31]
[10585, 36]
[10678, 15]
[10684, 30]
[10684, 28]
[10763, 22]
[10777, 24]
[10777, 22]
[10801, 23]
[10818, 22]
[10824, 30]
[10872, 35]
[10872, 15]
[10902, 31]
[10902, 30]
[11016, 30]
[11030, 36]
[11068, 15]
[11093, 29]
[11375, 14]
[11403, 16]
[11437, 35]
[11441, 30]
[11520, 34]
[11520, 34]
[11747, 32]
[11761, 11]
[11811, 34]
[11826, 11]
[11847, 32]
[11847, 31]
[11847, 30]
[11914, 15]
[11917, 36]
[11917, 36]
[11937, 33]
[11953, 33]
[12014, 23]
[12027, 36]
[12031, 33]
[12087, 36]
[12098, 34]
[12122, 36]
[12145, 35]
[12145, 30]
[12148, 30]
[12180, 31]
[12200, 18]
[12245, 37]
[12245, 33]
[12245, 33]
[12245, 37]
[12265, 36]
[12267, 31]
[12304, 33]
[12419, 25]
[12421, 30]
[12437, 36]
[12437, 34]
[12520, 11]
[12563, 28]
[12741, 22]
[12755, 14]
[12755, 14]
[12775, 11]
[12780, 36]
[12785, 33]
[12785, 37]
[12806, 30]
[12826, 33]
[12853, 15]
[12854, 29]
[12856, 32]
[12858, 11]
[12926, 16]
[12964, 15]
[12980, 33]
[12997, 26]
[13058, 11]
[13069, 30]
[13069, 29]
[13218, 12]
[13225, 35]
[13226, 28]
[13226, 30]
[13227, 15]
[13227, 25]
[13263, 15]
[13284, 11]
[13404, 26]
[13471, 31]
[13486, 15]
[13625, 19]
[13630, 14]
[13630, 30]
[13630, 37]
[13795, 33]
[13842, 33]
[13937, 15]
[14033, 29]
[14117, 29]
[14118, 37]
[14206, 31]
[14292, 13]
[14340, 32]
[14344, 31]
[14344, 16]
[14395, 31]
[14395, 25]
[14427, 25]
[14468, 15]
[14477, 35]
[14480, 22]
[14561, 11]
[14580, 15]
[14624, 29]
[14648, 14]
[14831, 30]
[14849, 15]
[14858, 35]
[14881, 30]
[14897, 37]
[14913, 36]
[14964, 15]
[14996, 27]
[15131, 28]
[15140, 24]
[15173, 31]
[15187, 24]
[15274, 15]
[15291, 32]
[15298, 24]
[15374, 26]
[15412, 37]
[15412, 32]
[15518, 21]
[15537, 35]
[15604, 25]
[15650, 31]
[15658, 21]
[15665, 15]
[15683, 37]
[15725, 20]
[15725, 35]
[15736, 32]
[15798, 37]
[15886, 34]
[15970, 25]
[15970, 28]
[16089, 36]
[16089, 32]
[16094, 31]
[16118, 32]
[16125, 31]
[16151, 15]
[16233, 25]
[16236, 31]
[16236, 13]
[16269, 11]
[16269, 31]
[16289, 31]
[16297, 36]
[16297, 23]
[16297, 30]
[16297, 23]
[16297, 23]
[16317, 31]
[16317, 33]
[16317, 11]
[16317, 19]
[16340, 33]
[16382, 35]
[16382, 27]
[16405, 15]
[16433, 36]
[16433, 23]
[16433, 23]
[16434, 24]
[16494, 25]
[16548, 33]
[16548, 25]
[16552, 30]
[16561, 29]
[16573, 30]
[16597, 30]
[16602, 29]
[16602, 31]
[16606, 33]
[16810, 31]
[16823, 15]
[16892, 13]
[16918, 32]
[16985, 37]
[17061, 29]
[17103, 31]
[17234, 37]
[17234, 36]
[17271, 29]
[17271, 35]
[17271, 36]
[17357, 28]
[17375, 30]
[17387, 36]
[17398, 27]
[17399, 16]
[17512, 26]
[17561, 31]
[17663, 22]
[17712, 36]
[17732, 35]
[17738, 20]
[17746, 31]
[17755, 31]
[18041, 29]
[18080, 26]
[18120, 22]
[18130, 11]
[18130, 37]
[18200, 32]
[18200, 36]
[18222, 23]
[18245, 19]
[18245, 23]
[18328, 36]
[18329, 15]
[18372, 13]
[18439, 15]
[18444, 36]
[18444, 34]
[18444, 36]
[18444, 37]
[18446, 11]
