[386, 14]
[516, 14]
[632, 28]
[870, 20]
[870, 24]
[979, 36]
[1059, 33]
[1221, 18]
[1221, 28]
[1327, 11]
[1399, 25]
[1654, 22]
[1654, 35]
[1846, 18]
[2001, 36]
[2153, 21]
[2366, 29]
[2420, 31]
[2491, 19]
[2528, 20]
[2599, 30]
[2599, 35]
[2637, 18]
[2673, 36]
[2952, 26]
[3057, 16]
[3057, 15]
[3057, 35]
[3169, 29]
[3322, 19]
[3364, 12]
[3405, 30]
[3462, 34]
[3476, 25]
[3501, 35]
[3533, 14]
[3544, 30]
[3549, 21]
[3563, 30]
[3911, 26]
[3911, 16]
[4069, 25]
[4425, 23]
[4644, 19]
[4732, 31]
[4773, 13]
[4792, 11]
[4877, 34]
[4877, 32]
[4911, 21]
[5079, 12]
[5079, 28]
[5411, 27]
[5472, 24]
[5477, 26]
[5525, 14]
[5633, 24]
[5655, 20]
[5877, 11]
[5996, 17]
[6034, 13]
[6046, 13]
[6046, 29]
[6105, 32]
[6262, 24]
[6364, 16]
[6486, 19]
[6533, 15]
[6654, 18]
[6907, 31]
[6937, 25]
[6948, 26]
[7249, 12]
[7340, 27]
[7459, 36]
[7644, 31]
[7921, 22]
[7985, 34]
[8125, 29]
[8181, 32]
[8181, 33]
[8187, 13]
[8210, 32]
[8226, 13]
[8517, 36]
[8757, 14]
[9001, 22]
[9091, 26]
[9091, 16]
[9279, 16]
[9524, 29]
[9695, 20]
[9695, 13]
[9725, 25]
[9742, 35]
[9954, 31]
[9959, 13]
[9988, 25]
[10082, 35]
[10121, 31]
[10461, 31]
[10678, 26]
[10756, 36]
[10872, 32]
[11068, 33]
[11375, 33]
[11403, 14]
[11761, 11]
[11826, 14]
[11914, 33]
[11969, 20]
[12267, 31]
[12520, 12]
[12755, 12]
[12755, 36]
[12755, 18]
[12775, 21]
[12853, 32]
[12858, 36]
[12926, 27]
[12964, 25]
[12997, 21]
[13058, 13]
[13218, 16]
[13226, 22]
[13227, 36]
[13227, 22]
[13263, 21]
[13486, 25]
[13625, 19]
[13625, 18]
